Ilmatieteen_laitos Meteorologiska_institutet Finnish_Meteorological_Institute 2013  
Aika-askel Vuosi Kuukausi Päivä Aika Lämpötila(°C) Suhteellinen_kosteus(%) Tuulen_nopeus(m/s) Tuulen_suunta(astetta) Kokonaissäteily_vaakapinnalle(W/m2) Hajasäteily_vaakapinnalle(W/m2) Suora_säteily_kohtisuoralle_pinnalle(W/m2) Sademäärä(mm/h) 
Tidssteg År Månad Dag Tid Temperatur(°C) Relativ_fuktighet(%) Vindhastighet(m/s) Vindriktning(grader) Global_strålning_på_vågrät_yta(W/m2) Diffus_strålning_på_vågrät_yta(W/m2) Direkt_strålning_på_normalyta(W/m2) Nederbörd(mm/h) 
Timestep Year Month Day Time Temperature(°C) Relative_humidity(%) Wind_speed(m/s) Wind_direction(degrees) Global_horisontal_radiation(W/m2) Diffuse_horisontal_radiation(W/m2) Direct_normal_solar_radiation(W/m2) Precipitation(mm/h)
#    STEP    YEAR    MONTH     DAY     HOUR     T      RH             WS      WD      Rglob   Rdiff   Rnorm  Precip
     112    2100       1       5      15     2.3    97.9    2.41   299.2     7.2     7.2     0.0    0.02
     113    2100       1       5      16     2.0    98.4    1.08   137.9     2.5     2.5     0.0    0.02
     114    2100       1       5      17     1.6    98.9    0.80   177.8     0.0     0.0     0.0    0.02
     115    2100       1       5      18     1.5    99.2    0.80   177.8     0.0     0.0     0.0    0.02
     116    2100       1       5      19     1.4    99.7    2.21   238.9     0.0     0.0     0.0    0.04
     117    2100       1       5      20     1.3   100.0    2.21   238.9     0.0     0.0     0.0    0.04
     118    2100       1       5      21     1.2   100.0    2.21   238.9     0.0     0.0     0.0    0.01
     119    2100       1       5      22     1.1   100.0    1.95   203.9     0.0     0.0     0.0    0.02
     120    2100       1       5      23     1.0   100.0    1.95   203.9     0.0     0.0     0.0    0.02
     121    2100       1       6       0     1.2    99.6    2.20   199.6     0.0     0.0     0.0    0.01
     122    2100       1       6       1     1.2    99.0    2.77   207.0     0.0     0.0     0.0    0.01
     123    2100       1       6       2     1.4    98.2    3.05   205.3     0.0     0.0     0.0    0.02
     124    2100       1       6       3     1.4    97.9    3.05   205.3     0.0     0.0     0.0    0.04
     125    2100       1       6       4     1.4    97.5    3.05   205.3     0.0     0.0     0.0    0.02
     126    2100       1       6       5     1.4    97.3    3.05   205.3     0.0     0.0     0.0    0.02
     127    2100       1       6       6     1.4    97.5    3.34   204.0     0.0     0.0     0.0    0.01
     128    2100       1       6       7     1.4    97.8    3.62   195.4     0.0     0.0     0.0    0.01
