Ilmatieteen_laitos Meteorologiska_institutet Finnish_Meteorological_Institute 2013  
Aika-askel Vuosi Kuukausi Päivä Aika Lämpötila(°C) Suhteellinen_kosteus(%) Tuulen_nopeus(m/s) Tuulen_suunta(astetta) Kokonaissäteily_vaakapinnalle(W/m2) Hajasäteily_vaakapinnalle(W/m2) Suora_säteily_kohtisuoralle_pinnalle(W/m2) Sademäärä(mm/h) 
Tidssteg År Månad Dag Tid Temperatur(°C) Relativ_fuktighet(%) Vindhastighet(m/s) Vindriktning(grader) Global_strålning_på_vågrät_yta(W/m2) Diffus_strålning_på_vågrät_yta(W/m2) Direkt_strålning_på_normalyta(W/m2) Nederbörd(mm/h) 
Timestep Year Month Day Time Temperature(°C) Relative_humidity(%) Wind_speed(m/s) Wind_direction(degrees) Global_horisontal_radiation(W/m2) Diffuse_horisontal_radiation(W/m2) Direct_normal_solar_radiation(W/m2) Precipitation(mm/h)
#    STEP    YEAR    MONTH     DAY     HOUR     T      RH             WS      WD      Rglob   Rdiff   Rnorm  Precip
     156    2100       1       7      11     6.0    99.4    0.95   222.4     6.4     6.4     0.0    0.27
     157    2100       1       7      12     6.2    99.2    1.23   214.3    10.3    10.3     0.0    0.27
     158    2100       1       7      13     6.4    99.2    1.63   208.1    15.4    15.4     0.0    0.00
     159    2100       1       7      14     6.5    99.2    1.94   205.2    11.0    11.0     0.0    0.00
     160    2100       1       7      15     7.0    99.0    2.67   201.0     6.9     6.9     0.0    0.00
     161    2100       1       7      16     7.4    98.6    3.02   176.2     1.1     1.1     0.0    0.00
     162    2100       1       7      17     7.8    98.4    3.75   173.0     0.0     0.0     0.0    0.27
     163    2100       1       7      18     8.0    98.6    4.06   172.0     0.0     0.0     0.0    0.16
     164    2100       1       7      19     8.2    99.0    4.79   196.1     0.0     0.0     0.0    0.07
     165    2100       1       7      20     8.4    99.2    5.11   195.7     0.0     0.0     0.0    0.00
     166    2100       1       7      21     8.4    98.6    5.43   195.4     0.0     0.0     0.0    0.00
     167    2100       1       7      22     8.4    98.2    5.86   195.0     0.0     0.0     0.0    0.27
     168    2100       1       7      23     8.5    97.6    6.18   194.7     0.0     0.0     0.0    0.00
